# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.108659133911132812e+02 1.297495422363281250e+02 1.003360390663146973e+00
1.000000000000000000e+03 1.097786521911621094e+01 1.096147632598876953e+01 1.836843788623809814e-01
2.000000000000000000e+03 2.646014451980590820e+00 4.054965972900390625e+00 1.076415702700614929e-01
3.000000000000000000e+03 4.220904782414436340e-03 1.223823335021734238e-02 3.151098731905221939e-03
4.000000000000000000e+03 8.813521126285195351e-04 1.468874630518257618e-03 7.509498391300439835e-04
5.000000000000000000e+03 3.023620520252734423e-04 7.142322137951850891e-04 5.318347830325365067e-04
6.000000000000000000e+03 2.266720402985811234e-04 3.501242317724972963e-04 2.633885887917131186e-04
7.000000000000000000e+03 1.302536693401634693e-04 2.295625599799677730e-04 1.220960548380389810e-04
8.000000000000000000e+03 9.166197560261934996e-05 1.794986892491579056e-04 1.398496242472901940e-04
9.000000000000000000e+03 7.988864672370254993e-05 1.353118859697133303e-04 1.374763523926958442e-04
1.000000000000000000e+04 5.978840999887324870e-05 9.815891826292499900e-05 7.169152377173304558e-05
1.100000000000000000e+04 1.888954866444692016e-04 2.240051253465935588e-04 5.101765855215489864e-04
1.200000000000000000e+04 4.357815851108171046e-05 7.984070543898269534e-05 4.722944504464976490e-05
1.300000000000000000e+04 3.893068787874653935e-05 6.796878733439370990e-05 6.880948785692453384e-05
1.400000000000000000e+04 3.225371983717195690e-05 6.396605749614536762e-05 9.033937385538592935e-05
1.500000000000000000e+04 3.594186273403465748e-05 5.840497397002764046e-05 7.843299681553617120e-05
1.600000000000000000e+04 2.545765019021928310e-04 2.927770838141441345e-04 6.482957978732883930e-04
1.700000000000000000e+04 2.822524220391642302e-05 5.466515358421020210e-05 6.674636824754998088e-05
1.800000000000000000e+04 3.428882337175309658e-04 3.640326322056353092e-04 7.478030747734010220e-04
1.900000000000000000e+04 2.156233495043125004e-05 3.989065226051025093e-05 4.507767880568280816e-05
2.000000000000000000e+04 2.569844400568399578e-05 4.958812132827006280e-05 6.822627619840204716e-05
2.000000000000000000e+04 4.696564428741112351e-05 4.958812132827006280e-05 6.822627619840204716e-05
2.100000000000000000e+04 9.114540375776414294e-07 4.021362656203564256e-06 1.623853131604846567e-05
2.179400000000000000e+04 3.557815944077447057e-07 1.196058860841731075e-06 9.603487342246808112e-06
